,video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,subscriber_count
1,qQCRu6u4AK8,"[5/19]김성민,이정윤,김동석,구영식,류밀희,한준희,박문성,박동희,심수창│김어준의 뉴스공장",2020-05-19T03:15:22Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.19.05,TBS|김어준|뉴스공장|5.18|긴급재난지원기금|코로나|한만호|정의연|정의기억연대|재난지원금,325984,23579,366,325,https://i.ytimg.com/vi/qQCRu6u4AK8/default.jpg,False,False,"-5월 19일 (화) 김어준의 뉴스공장-◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)[인터뷰 제1공장]재난지원금으로 소상공인 매출 급증 “일매출 평균 28% 증가해”- 김성민 공동회장 (한국중소상인자영업자총연합회)◎ 2부[인터뷰 제2공장] 2011년 6월 故 한만호 단독취재 10여년 만에 드러난 정치검찰의 실체- 구영식 기자 (오마이뉴스)[인터뷰 제3공장]월성1호기, ‘R-7’ 적용 없이 안전성 평가, “경제성 시비보단 부실한 안전심사에 집중해야”- 이정윤 대표 (원자력안전과미래)◎ 3부[인터뷰 제4공장] -전화연결본격적으로 불붙은 美대선 “트럼프 VS 오바마 그 내막은?”- 김동석 대표 (미주한인유권자연대)◎ 4부[스포츠공장]KBO, 심판위원 징계 미국 생중계 & K리그, 코로나19 통합 매뉴얼 공유 요청- 한준희 축구 해설위원- 박문성 축구 해설위원- 박동희 야구 전문기자- 심수창 야구 해설위원----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp",85.7
2,48N1aavLjPI,[골라봐야지] 1일 7깡 하다가 지루할 때 쯤 보러오세요(?) 춤 잘 추는 비(Rain) 모음 #아는형님 #JTBC봐야지,2020-05-18T09:01:28Z,UCF3UEVPt5zZTlBVJwDG317g,JTBC Voyage,24,20.19.05,JTBC봐야지|JTBC voyage|아는형님|아형|knowing bros|비|rain|정지훈|Jung ji hoon|영상|편집영상|입덕영상|레전드|비 레전드|비 춤|춤|비 퍼포먼스|퍼포먼스|깡|비 깡|깡코인|레인이펙트|나비효과|김태희|태양을 피하는 방법|나쁜 남자|최고의 선물,967993,12223,261,2727,https://i.ytimg.com/vi/48N1aavLjPI/default.jpg,False,False,"스리슬쩍 탑승해보는 깡 코인,,^^,, 언제 어디서나 화려한 조명이 감싸지 않아도열정 가득 진심으로 춤추는 rain_oppa 모음..♡[JTBC봐야지] 구독하기☞ http://bitly.kr/VgFZ3------------------------------------------------------* 영상 속 프로그램은?【아는 형님｜Knowing Brothers】http://bit.ly/2VuTtho------------------------------------------------------",138.0
3,lDoKXcGcUB4,미스터트롯 Top6의 시작은 '전국 노래자랑'~🎤떡잎🌱부터 남달랐던 미스터트롯 TOP6의 과거 출연영상 모아보기✨ [대케가수],2020-05-18T08:45:45Z,UCUnSdg6_nmdhh2fXjsNqTXg,KBS대전,10,20.19.05,대전|KBS|KBS대전|세종|충남|편성|프로그램|제작|kbs|대전시|대전광역시|충청남도|세종특별시|전국노래자랑|미스터트롯|트롯|영트롯|트로트|장민호|임영웅|이찬원|영탁|정동원|김희재|일소일소일노일로|네가왜거기서나와|미운사내|청춘고백|꿈속의사랑|짝사랑|송해|보릿고개|나그네설움|사랑해누나|돌리도|불후의명곡|미스트롯|색소폰|무대|레전드무대|공연모음|대케가수,198988,8082,244,737,https://i.ytimg.com/vi/lDoKXcGcUB4/default.jpg,False,False,"미스터트롯이 KBS에 떴다! 'KBS 불후의 명곡-송해가요제' !5월 28일 저녁 6시 본방사수!그전에!본방 보기 전 과거 영상 복습은 필수죠?✊💖송해 선생님을 거쳐간미스터트롯 TOP 6의 🌱풋풋한🌱 시절을 돌아보아요~~🎤임영웅 /일소일소 일노일로/🎤영탁 /네가 왜 거기서 나와/🎤이찬원 /미운 사내 (+청춘고백, 꿈 속의 사랑, 짝사랑)/🎤정동원 /보릿고개 (+ 나그네 설움)/🎤장민호 /사랑해 누나/🎤김희재 /돌리도/",1.54
4,A1L6IEYVXSg,안녕하세요 철구입니다. 드디어 전역했습니다...,2020-05-16T03:09:28Z,UCUY0FVprY69TQu5pbho2PNw,철구형 (CHULTUBE),23,20.19.05,철구|BJ철구|아프리카철구|afreecaTV|아프리카TV|BJ|비제이|인터넷방송|인터넷방송BJ유머방송|개그방송|유머영상|개그영상|게임영상|게임방송|꿀잼|웃긴영상|웃긴방송,2550580,53451,13946,15151,https://i.ytimg.com/vi/A1L6IEYVXSg/default.jpg,False,False,"▶구독+좋아요+공유! 앙♥기모띠철구 유튜브 ▶  http://goo.gl/ewip1K철구 아프리카 ▶  http://Afreecatv.com/y1026철구 페이스북 ▶ http://goo.gl/4DC1hG지혜 유튜브 ▶  http://goo.gl/AYZPOl지혜 아프리카 ▶  http://Afreecatv.com/xwx1541지혜 인스타 ▶ http://goo.gl/xrWZmi",121.0
5,GeqnSG6RL4g,양정철! 신변보호요청!!,2020-05-19T00:48:52Z,UC0M-_02RJqMlGTKUjF1WhJg,가로세로연구소,25,20.19.05,가로세로연구소|가세연|강용석|김세의|김용호|인싸뉴스|양정철,274399,49190,740,1181,https://i.ytimg.com/vi/GeqnSG6RL4g/default.jpg,False,False,"가로세로연구소 구독 후원 방법정기구독 후원 ARS 1877-0665기업은행 655-026629-01-014 (예금주 : (주)가로세로연구소)국민은행 465101-01-273030 (예금주 : (주)가로세로연구소)농협 301-0237-9687-51 (예금주 : (주)가로세로연구소)신한은행 140-012-467674 (예금주 : (주)가로세로연구소)우리은행 1005-903-621647 (예금주 : (주)가로세로연구소)하나은행 155-910040-33004 (예금주 : (주)가로세로연구소)투네이션 기부 : https://toon.at/donate/hoverlabPaypal (해외거주자용) : https://paypal.me/hoverlabUSA Citi Bank : Account Number (9250716923), Routing Number (254070116), SWIFT Code (CITI US 33), Account Title (Hover Lab Co.), Address (14028 Marblestone Dr., Clifton, VA, USA 20124)CANADA Shinhan Bank : Account Number (700000149910), Institution Number (355), Transit Number (08101), SWIFT Code (SHBKCATTXXX), Account Title (Hover Lab Co.), Address (14028 Marblestone Dr., Clifton, VA, USA 20124)홈페이지 가입 : http://www.hoverlab2018.com유튜브 멤버십 가입: https://www.youtube.com/channel/UC0M-_02RJqMlGTKUjF1WhJg/join",59.3
6,ZMQMrhSr6jM,[충격단독] 사전투표 프린터 직접 샀습니다!!,2020-05-18T11:13:44Z,UC0M-_02RJqMlGTKUjF1WhJg,가로세로연구소,25,20.19.05,[none],337830,31377,1623,963,https://i.ytimg.com/vi/ZMQMrhSr6jM/default.jpg,False,False,"가로세로연구소 구독 후원 방법정기구독 후원 ARS 1877-0665기업은행 655-026629-01-014 (예금주 : (주)가로세로연구소)국민은행 465101-01-273030 (예금주 : (주)가로세로연구소)농협 301-0237-9687-51 (예금주 : (주)가로세로연구소)신한은행 140-012-467674 (예금주 : (주)가로세로연구소)우리은행 1005-903-621647 (예금주 : (주)가로세로연구소)하나은행 155-910040-33004 (예금주 : (주)가로세로연구소)투네이션 기부 : https://toon.at/donate/hoverlabPaypal (해외거주자용) : https://paypal.me/hoverlabUSA Citi Bank : Account Number (9250716923), Routing Number (254070116), SWIFT Code (CITI US 33), Account Title (Hover Lab Co.), Address (14028 Marblestone Dr., Clifton, VA, USA 20124)CANADA Shinhan Bank : Account Number (700000149910), Institution Number (355), Transit Number (08101), SWIFT Code (SHBKCATTXXX), Account Title (Hover Lab Co.), Address (14028 Marblestone Dr., Clifton, VA, USA 20124)홈페이지 가입 : http://www.hoverlab2018.com유튜브 멤버십 가입: https://www.youtube.com/channel/UC0M-_02RJqMlGTKUjF1WhJg/join",59.3
7,vIqp0RRedHU,"[5/18]허연식,최배근,안진걸,박연미,신장식,양지열,신유진,류밀희│김어준의 뉴스공장",2020-05-18T01:41:55Z,UC5HSw5OY2vfVFSihpiB-AVQ,TBS 시민의방송,25,20.19.05,TBS|김어준|뉴스공장|코로나|클럽코로나|압구정클럽|긴급재난재원금|5.18|광주민주화운동|민주화운동|포스트코로나,513598,29009,862,912,https://i.ytimg.com/vi/vIqp0RRedHU/default.jpg,False,False,"-5월18일(월) 김어준의 뉴스공장-◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)◎ 2부[인터뷰 제1공장]5·18 조사위 본격 진상조사 “책임자 역 추적해 실체적 진실 밝힐 것”– 허연식 조사2과장 (5.18민주화운동진상규명조사위원회)[인터뷰 제2공장]美 노동유연성 역효과, 韓 경기선행지수 나홀로 상승- 최배근 교수 (건국대 경제학과)◎ 3부[인터뷰 제3공장]'긴급재난지원금' 사용법 총정리 지원금 취지에 맞는 사용처 확대 필요해- 안진걸 소장 (민생경제연구소)- 박연미 경제평론가◎ 4부[인터뷰 제4 장]한국판 홀로코스트 법안 필요성 & 정경심 교수, 공무집행방해 성립 요인은?- 신장식 변호사- 양지열 변호사- 신유진 변호사----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp",85.7
8,gZTjH8fQyy8,ENG] [몰카] 머리 망쳐 빡친 손님이 미용사 머리를 조진다면?!ㅋㅋㅋㅋㅋ미녀분들 리액션 레게노ㅋㅋㅋ - [동네놈들],2020-05-17T10:30:03Z,UCIuFnJrRwHEUcIVtozJnUGA,동네놈들,23,20.19.05,관찰|관찰카메라|실험|실험카메라|prank|prankcam|prankcamera|prankvideo|prankgag|prankgags|gag|gags|fun|funny|funvideo|enjoy|개그|개그맨|개그우먼|여사친|미녀|웃참|웃긴영상|웃긴유튜버|재밌는영상|재밌는유튜버|역대급|레전드|리액션|레게노|미용실|미용|컷트|헤어|hair|cut|동네놈들|eng|engsub|헤어스타일|정재형|최부기|안진호|yt:cc=on|낄낄상회|수상한녀석들|욜로코믹스|킹기훈|보물섬|더블비|동네애들|장난|joke|hidden,718740,13028,646,1326,https://i.ytimg.com/vi/gZTjH8fQyy8/default.jpg,False,False,❤️촬영에 장소 제공을 해주신 '마끼에 타워팰리스점' 감사합니다 ❤️강남구 도곡동 467-24 우성캐릭터199 오피스텔 1층 120호🔥 구독 & 좋아요 & 알림설정 Click?!?! oh yeah!!!! 🔥💥동네놈들 페이스북💥 https://www.facebook.com/videodnnd💥동네놈들 공식 인스타그램💥 https://www.instagram.com/hoodboyz_dnnd💥동네놈들 공식 TIKTOK💥https://vt.tiktok.com/r6rtc9/🤡 개그맨 안진호 🤡 https://www.instagram.com/_zin_ho_🤡 개그맨 최부기🤡 https://www.instagram.com/choi_boogie🤡 개그맨 정재형 🤡https://www.instagram.com/star.jjj#몰카 #몰래카메라 #동네놈들 #小区小家伙 #prank #prankcam #미용실 #hair,109.0
9,Gb1RibwgcQU,과나 포차,2020-05-18T03:52:10Z,UCZVD--cl8FLRn7kmSudAuBA,과나gwana,24,20.19.05,쌍갑포차|안주요리|안주,346022,21148,144,4604,https://i.ytimg.com/vi/Gb1RibwgcQU/default.jpg,False,False,"포차안주 3가지를 만들었습니다. 요리법↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓========================================================육수 ========================================================소주반병 물 1.5L   바지락 200g건홍합 2술 청양고추1개 파 반개 무 200g ========================================================1.바지락은 해감합니다. 2.파는 삼등분,청양고추는 세로로 절반 , 무는 1cm정도 두께로 썰어둡니다.  3.냄비에  모든 재료를 넣고 중불에 한시간 끓입니다. 4.체에 거르고,  홍합과 바지락은 살을 발라 다져둡니다.========================================================바지락 국물 계란찜 ========================================================육수 낼때 다진 바지락육수450ml 소주 1/4병계란2개 간장반술 식초반술 소금한꼬집 새우젓국물 2술다진청양고추1술 쪽파 반컵 ========================================================1. 육수150ml ,계란2개 ,간장반술 ,소금 한꼬집 ,소주한술 을 섞고 체에 걸러 냅니다. 2. 그릇에 참기름을  고루 발라준뒤 1.을 넣고 알루미늄 호일로 뚜껑을 만들어 덮습니다.   3. 냄비에 그릇이 반쯤 잠길정도로 물을 얕게 넣고 , 2.를 넣고, 중불로 가열합니다. 4.물이 끓어오르기 시작하면 약불로 줄이고 냄비 뚜껑을 덮고 15분 가열하면 계란찜 완성입니다. 5. 팬에 기름을 1술 두르고  중약불로 다진 바지락, 다진 마늘 한술을 볶습니다. 6. 다진마늘이 익어가면 소주 1/4병 , 육수 300ml,  물150ml ,새우젓국물 2술을 넣고서 중불~센불로 끓여 줍니다. 7. 5분정도 끓인뒤 소금,후추로 간을 맞추고 불을 끕니다. 8.쪽파 반컵, 다진 청양고추 한술, 식초 반술을 넣고 섞어주면 국물완성입니다. 9. 계란찜 가장자리를 젓가락으로 살살 훑어  접시에 뒤집어 올립니다. 10.국물을 붓고, 실고추를 올리면 완성입니다.  ================================================================================================================불 돼지 강정========================================================앞다리살350g 육수 100ml땅콩 취향껏 깻잎 취향껏 다진 청양고추2개  건고추 4개 다진생강 다진마늘 1술 다진파 1컵 매운고춧가루4술 소금 1/4술 후추 카레가루 1/3술간장 3술 굴소스 2술설탕 2술케첩 1.5술 고추장 1술 물엿 4술 ========================================================1.앞다리살 350g을 한입크기로 썰어 둡니다. 2. 썰어둔 고기에 소금 1/4술  ,후추 1/3술, 생강 1/2술,카레가루  1/3술, 소주 두잔을 넣고 잘 주물러 버무린뒤 냉장고에서  30분에서 1시간정도 재워 둡니다. 2. 건고추 4술,굴소스 2술 ,간장 3술, 설탕 2술, 케첩 1.5술,  고추장 1술,  매운 고춧가루4술  물엿 4술 ,다진파 한컵 ,후추  1/2, 다진마늘 1술 ,물100 , 육수100를 팬에 넣고 중불로 끓입니다. 3. 원하는 농도가 나오면 불을 끄고 다진 청양고추 2개를 섞으면 소스 완성입니다. 4.2.에 감자전분 1 ~ 1.5컵을 넣고 버무립니다. 5.180도 기름에  두번 튀깁니다. 6. 땅콩도 튀깁니다.  7. 튀긴 돼지고기와 소스를 잘 섞어 버무립니다.8. 그릇에 7.을올리고 얇게썬 깻잎, 튀긴 땅콩, 고추기름 한술을 뿌리면 완성입니다. ===================================================================================================================북어 크림 리소토 ========================================================북어  20g 김치 50g  육수 낼때 다진 홍합 양파 반개 다진마늘 1술 홍고추 소량돌나물 소량 파슬리 소량 찬밥200g 육수 200우유 200 크림 100 모짜렐라 치즈 취향껏 치킨스톡 1술 설탕 1/4술김치국물 1술 ========================================================1. 북어를 물에 1분~2분 불립니다. 2.물에 불린 북어, 김치, 양파를 최대한 잘게 다지고,  다진 홍합, 다진마늘 1술, 김치국물 1술, 치킨스톡1술 설탕1/4술과 섞습니다.   3. 팬에 기름을 2술 두르고 2.를 넣고 중불로 볶습니다.4. 양파가 어느정도 익으면 육수200ml를 넣습니다. 5. 수분이 자작해지면 밥과 우유, 크림을 넣고 불을 중약불로 줄입니다. 6. 적당한 농도가 되면 불을 끄고 그릇에 담습니다. 7. 파슬리, 치즈, 돌나물, 홍고추를 올려주면 완성입니다. ========================================================※ 본 영상은 JTBC의 지원을 받아 제작된 컨텐츠 입니다.",37.4
10,YTgeBbOyn5I,트로트 쎄시봉 트리오 음악회 #임영웅 #영탁 #장민호 #미스터트롯,2020-05-19T02:00:08Z,UCtX0ylOiD-WgKvteH108yww,안동MBC MUSIC,10,20.19.05,트로트|인기트로트|트로트메들리|트로트모음|인기트롯|트롯모음|미스트롯|미스|트롯|미스터트롯|미스터|메들리|노래|가요|음악|뮤직|최신|인기|차트|베스트|kpop|k-pop|ktrot|k-trot|best|music|사랑|이별|눈물|감성|갬성|캠핑|무한|반복|재생|광고|송가인|정미애|홍자|숙행|지원이|요요미|정다경|김소유|이미자|나훈아|홍진영|장윤정|주현미|정통|전통|민요|타령|판소리|국악|세미|세미트롯|세미트롯트|트롯인기|세미트로트|트롯트인기|트롯메들리|트롯베스트|트롯트메들리|트롯트베스트|트롯차트|신나는|트롯트차트|즐거운|트롯트모음|경쾌한|신명나는|흥나는|축제|행사|공연|콘서트|직캠|고화질|뽕피디|sbs|kbs|mbc|jtbc|tv조선|관광버스|고속도로|운전할때|드라이브|바람|기차|여행|뽕포유|놀면뭐하니|유산슬|유재석|이찬원|정동원|김희재|김수찬|울긴왜울어|사내|막걸리한잔|어느60대노부부이야기|보랏빛엽서|태클을걸지마|추억으로가는당신|보릿고개,197035,6582,175,484,https://i.ytimg.com/vi/YTgeBbOyn5I/default.jpg,False,False,"#트로트 #메들리 #가요 #음악 #노래 #가요베스트 #고속도로 #운전할때 #운전 #드라이브 #직캠 #4K #미스트롯 #고화질 #미스터트롯 #미스터임영웅-사랑의 미로, 내 마음 별과 같이, 진정 난 몰랐었네영탁-둥지장민호-남자는 말합니다임영웅-계단말고 엘리베이터영탁-니가 왜 거기서 나와장민호-7번 국도임영웅-부초같은 인생영탁-누나가 딱이야장민호-연리지임영웅-항구의남자, 사랑할나이, 나무꾼영탁-가슴시린 이야기장민호-드라마✔ 안동MBC 홈페이지 : http://www.andongmbc.co.kr✔ 안동MBC NEWS : https://www.youtube.com/channel/UCgzCOR128Z8rovfBEIQ_lEQ✔ 안동MBC MUSIC : https://www.youtube.com/channel/UCtX0ylOiD-WgKvteH108yww✔ 안동MBC PLUS : https://www.youtube.com/channel/UCTqenvDOOdnJz6tcAXtJsZw",25.9
