video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"LdrPsP_KD5g","넌 주먹도 참 쎄구나👊🏻 민이슨의 탄생🥊 (feat. 핵주먹) [시켜서한다! 오늘부터 운동뚱] 11회","2020-05-20T09:00:13Z","UCsOW9TPy2TKkqCchUHL04Fg","맛있는 녀석들 (Tasty Guys)","24","20.22.05","맛있는 녀석들|Tasty Guys|김준현|김민경|문세윤|유민상|코미디TV|민경장군|김동현|매미킴|매미킴TV|UFC|종합격투기|권투|운동|김민경운동|김민경UFC|김민경권투|김민경종합격투기|운동뚱종합격투기|핵주먹|마이클타이슨|타이슨|팀스턴건|김호들|킥복싱|다이어트|벌크업|헬스|양치승|스포츠|카운터펀치|이고르보브찬친","961409","24213","303","4888","https://i.ytimg.com/vi/LdrPsP_KD5g/default.jpg","False","False","우리 민경장군이 이번에도 잊지 않고 맛둥이들을 위해!!!'쿠캣 상품권'을 얻어 냈어요💕💕!추첨을 통해 '쿠캣 상품권'을 드리겠습니다🤗놓치지 말고 많이 참여해 주세요!참여하기👉🏻  http://bitly.kr/xr9cRAl0qb 하나를 알려주면 백을 해버리는 민경장… 아니 민경대장군😳핵주먹(a.k.a 민이슨)에 매미킴 넉다운 됐다는 소식!!!민경대장군의 한계는 어디까지인가…?🥊#김민경 #김동현 #오늘부터운동뚱#매미킴 #권투 #종합격투기#내가바로 #핵주먹이다채널에 가입하여 혜택을 누려보세요.https://www.youtube.com/channel/UCsOW9TPy2TKkqCchUHL04Fg/join▣ 맛있는 녀석들 채널을 구독해주세요! ◆ 유튜브 채널  : youtube.com/c/맛있는녀석들TastyGuys◆ 페이스북: https://www.facebook.com/TastyguysOfficial/◆ 인스타그램 : https://www.instagram.com/tastyguys_official/◆  트위터 : https://twitter.com/Tasty_Guys"
"WBoxSlijmxM","[5/21]박지원,박남춘,최민희,신지호,정세현,김주영,류밀희│김어준의 뉴스공장","2020-05-21T03:02:06Z","UC5HSw5OY2vfVFSihpiB-AVQ","TBS 시민의방송","25","20.22.05","TBS|김어준|뉴스공장|김어준의뉴스공장|코로나|인천확진자|고3|등교개학|정의연|윤미향|5.24|한명숙|백신|모더나","350243","23827","514","414","https://i.ytimg.com/vi/WBoxSlijmxM/default.jpg","False","False","[TBS 유튜브 (목) 생방송]▶7시 6분 : 김어준의 뉴스공장 ▶9시 :5.18다큐 [왜 나를 쐈지?]▶10시10분:해시태그 팔로워 ▶10시 40분 :더 룸 -5월 21일 (목) 김어준의 뉴스공장-◎ 1부[이 정도는 알아야 할 아침 뉴스]- 류밀희 기자 (TBS)[잠깐만 인터뷰] -전화연결인천시, 등교 첫날 ‘귀가 조치’ 결정 “최대한 많은 접촉자 파악해 지역 확산 막아낼 것”- 박남춘 시장 (인천시)◎ 2부[인터뷰 제1공장]“5.24 조치 실효성 상당 부분 상실” 통일부 첫 공식 언급의 함의 분석- 정세현 부의장 (민주평화통일자문회의)[인터뷰 제2공장]연일 제기되는 정의연 관련 의혹 “정의연 흔들기 그만” VS “의혹투성이, 명백히 밝혀야”- 최민희 전 의원 (더불어민주당)- 신지호 전 의원 (새누리당)◎ 3부[그것마저 알려주마]비대면 진료 도입에 대한 국민여론- 김주영 이사 (리얼미터)[정치구단주]민주당, '윤미향 의혹' 첫 공식 입장 & 한명숙 비망록 재조사 확대 가능성- 박지원 의원 (민생당)◎ 4부[동네사람들]코로나19 백신 전쟁 속 각국 상황 & 백신 독점에 대한 시각은?- 크리스 존슨 (미국)- 조셉 데틀레프 (미국)- 알파고 시나씨 (터키)- 일리야 벨랴코프 (러시아)----------------------------------------------▶TBS 유튜브 구독 http://j.mp/MyLoveTBS▶TBS 페이스북 https://facebook.com/mylovetbs▶TBS 카카오스토리 https://story.kakao.com/ch/seoultbs▶TBS 인스타그램 https://instagram.com/seoultbstv▶TBS 트위터 https://twitter.com/seoultbstv▶TBS 홈페이지 http://tbs.seoul.kr/▶TBS 유튜브 커뮤니티 http://bit.ly/2EaWnQp"
"r1X74sOMzo0","SUB)레전드각! 깡에미친 체대여친의 1일7깡 모음!ㅋㅋㅋ깡중의 깡! 비깡 클라쓰보소ㅋㅋㅋ Legend! Crazy girlfriend on GANG of Rain!","2020-05-21T07:03:19Z","UCj-durTg1W7uWsB8oq0u7kA","엔조이커플enjoycouple","24","20.22.05","엔조이커플|enjoycouple|먹방|mukbang|kpop|민뚜|라라|커플|영상|동영상|레전드|웃긴|개그|웃음참기|유머|연인|엔조이|역대급|모음|웃음|legend|샌드박스|깡|비|1일1깡|비깡|비 깡|gang|rain|레인|깡교과서|1일3깡|춤|깡 춤|여친|체대여친","351647","24712","221","2574","https://i.ytimg.com/vi/r1X74sOMzo0/default.jpg","False","False","#깡 #1일7깡 #엔조이커플비느님이 1일7깡 하라고 하셔서 해봤는데엔조잉여러분은 어떤 깡이 제일 마음에 드셨나요??ㅋㅋㅋㅋㅋ역시 라라는 깡도 어나더클라쓰였습니닼ㅋㅋㅋㅋ  This is a crazy popular dance in Korea! GANG of Rain!! Gang means very brave!! We hope u guys enjoyed this video♥엔조이커플 구독하기♡ - https://www.youtube.com/enjoycouple?sub_confirmation=1엔조이커플 인스타그램  enjoycouple instagram ▶https://www.instagram.com/enjoycouple/엔조이커플 페이스북  enjoycouple facebook▶https://www.facebook.com/enjoycouple임라라  LimlalaYouTube   ▶ https://www.youtube.com/channel/UCvdbrSd_DuybjYNR2ye5q0Ainstagram ▶https://www.instagram.com/limlalaland/손민수 MindduYouTube   ▶ https://www.youtube.com/channel/UC9xA0-QdssBhy7OVRGnaCsginstagram ▶ https://www.instagram.com/minsoorrr/"
"B_U1hB7JlMA","죄수와 검사Ⅱ(한명숙) ④ 검찰의 반격, 그리고 죄수H - 뉴스타파","2020-05-20T01:36:05Z","UCeFUGS2VCOb6DO3BiUgvwNA","newstapa","25","20.22.05","탐사보도|진실|뉴스타파","269878","19292","369","1521","https://i.ytimg.com/vi/B_U1hB7JlMA/default.jpg","False","False","한명숙 전 총리에게 9억원을 줬다던 한만호가 공판에서 진술을 번복하자 검찰은 다른 증인을 내세웠습니다. 수감돼 있던 죄수들입니다. '뇌물을 줬다'는 말을 한 씨로부터 들었다는 건데 정작 한 씨와 가장 가까웠던 죄수 H는 증인으로 나오지 않았습니다. 뉴스타파는 죄수 H와 연락이 닿았습니다.☞더 상세한 내용을 기사로 확인하세요 : https://newstapa.org/article/8UJ0Y☞뉴스타파 후원하기 : https://newstapa.org/donate☞뉴스타파 제보하기 : https://jebo.newstapa.org☞뉴스타파 정기 뉴스레터 받아보기 : http://eepurl.com/cTAHUf☞뉴스타파 인스타그램 : https://www.instagram.com/newstapa/☞뉴스타파 페이스북 : https://fb.com/newstapa☞뉴스타파 트위터 : https://twitter.com/newstapa☞뉴스타파 텔레그램 알림 받기 : https://t.me/newstapa☞뉴스타파 굿즈 온라인 스토어  : https://smartstore.naver.com/newstapa※Music source : Habi Music & Westar Music#한명숙 #한만호 #검찰개혁 #죄수와검사"
"ojB-xm7ygtQ","【비】 1일 1깡 너무 서운해 ( •᷄⌓•᷅ ) 쿨한 모먼트로 비며들게 한 RAIN OPPA + 댄스 메들리 | 놀면뭐하니 | TVPP","2020-05-20T15:00:26Z","UC1cWTErb7vw_UmmuB0dYgsQ","TV-People","24","20.22.05","MBC|people|TVPP|celeb|song|music|television|drama|entertainment|variety|show|actor|actress|배우|드라마|연기|예능|쇼|코미디|개그|가수|노래|KPOP|K-pop","159183","2384","46","785","https://i.ytimg.com/vi/ojB-xm7ygtQ/default.jpg","False","False","댄스 메들리 : 몸풀기 ➡나쁜 남자 ➡안녕이란 말 대신➡ 태양을 피하는 방법 ➡레이니즘 ➡널 붙잡을 노래 ➡ 깡 2020 ver #비 #정지훈 #놀면뭐하니 #TVPP"
"yJSeDhGwDx8","재석&제시의 환상케미, 재제의 와장창 게임 수난기[예능맛집X곱빼기/RunningMan]","2020-05-20T09:00:25Z","UCnx4Fi4cmkLGDiFfZ311wWw","SBS ENTER PLAY","24","20.22.05","유재석|런닝맨|이광수|SBS|sbs|Entertainment|running man|runningman|Kim Jong Kook|Lee Kwang Soo|Ji Seok Jin|Yoo Jae Suk|Song Ji Hyo|Haha|Gary|Yang Se Chan|Jeon So Min|김종국|지석진|송지효|하하|개리|양세찬|전소민|chạy đi chờ chi|에피소드|모음집|모음|이름표|이름표 떼기|폭주|유재석 제시|제시 유재석|제시","460367","6428","142","633","https://i.ytimg.com/vi/yJSeDhGwDx8/default.jpg","False","False","재석&제시의 환상케미, 재제의 와장창 게임 수난기[예능맛집X곱빼기/RunningMan]제시의 매력속으로...#런닝맨 #제시 #RunningMan"
"sR28yUR_dzM","(공익몰카) 만만하게 봤던 형광색 아저씨가 큰형님이라면? 2탄 (eng)","2020-05-19T08:00:26Z","UCVsBCfvb1NPjuoIMRDtDjHg","폭소바겐[Folkswagen]","23","20.22.05","보령머드축제|머드축제|몰래카메라|공익영상|바다축제|급식왕|더블비|보물섬|양팡|흔한남매|박형민|정승우|바다쓰레기|prank","1536194","19673","1673","2287","https://i.ytimg.com/vi/sR28yUR_dzM/default.jpg","False","False","안녕하십니까 폭소바겐입니다~ 부릉부릉~~이번 촬영장소는 아름다운 서해바다에서 촬영하였습니다형민이형은 충남 바닷가가 고향이고 승우는 해군 출신이라 바다 사랑이 남다릅니다. 여기서 갑자기 해군이 나온게 좀 껴맞춘게 아닌가 의심이 들수 있지만 다같이 그냥 눈 딱 감고 넘어가는 걸로 합의 보겠습니다 ㅎㅎ최근에 영화 아쿠아맨을 봤는데 바다 생물이 육지에서 밀려들어오는 쓰레기로 인해 힘들겠구나 라는 생각을 많이 했습니다언제나 건강하고 행복한 여러분 되시기를 진심으로 바라겠습니다 ㅎㅎ[폭소바겐 멤버 인스타]개그맨 박형민 인스타그램 https://www.instagram.com/zxcv3104/개그맨 정승우 인스타그램 https://www.instagram.com/gag_seung_woo/COPYRIGHT ⓒ 2018 Folkswagen ALL RIGHTS RESERVED.#폭소바겐 #몰카 #공익몰카"
"29ycT6fA-Rs","Crush (크러쉬) - 자나깨나 (Feat. 조이 of Red Velvet) MV","2020-05-20T09:00:00Z","UCEU3spVQMmXrU0Nqhw00Gpg","Crush","10","20.22.05","Crush|크러쉬|R&B|K pop|K-pop|Soul|조이|레드벨벳|Joy|Red Velvet|homemade recipe|homemade 1|자나깨나|Mayday|MV|Music Video|뮤직비디오|뮤비","1681109","234885","950","15947","https://i.ytimg.com/vi/29ycT6fA-Rs/default.jpg","False","False","Crush (크러쉬) - 자나깨나 (Feat. 조이 of Red Velvet) MVExecutive Producer: P NATIONProducer: Crush MV Director: Nuri Jeong (K.U.W)Creative Director: San Yawn Stylist: Ji Yeon Park, Sang Wook ParkHair & Make-up: Joo Young HanMixed by Stay Tuned @ Stay Tuned StudioMastered by Mike Bozzi at Bernie Grundman Mastering Hollywood, CA* ‘자나깨나(Mayday)' is now available on all streaming platforms including Apple Music & Spotify.- Spotify: https://open.spotify.com/artist/6aLdhHUqgdKE86xbtNmY8g - iTunes & Apple Music: https://music.apple.com/us/artist/crush/958641367- Crush Official YouTube: https://www.youtube.com/crushofficial - Crush Official Instagram: https://www.instagram.com/crush9244 - Crush Official Facebook: https://www.facebook.com/crush9244 - Crush Official Twitter: https://twitter.com/crush9244 - P NATION Official Instagram: https://www.instagram.com/pnation.official/ - P NATION Official Facebook: https://www.facebook.com/pnation.official - P NATION Official Twitter: https://twitter.com/OfficialPnation #Crush #크러쉬 #자나깨나 #조이 #Mayday #Joy #homemade1 #MV #PNATION #피네이션Copyrights 2020 ⓒ P NATION All Rights Reserved"
"PaEMmw5q4b8","[선공개]선우은숙, 이영하에 거침없는 스킨십?! ＂다시 합치나요??＂","2020-05-20T09:36:29Z","UCYyLIlOJyqkAFKlVjzX5img","MBN Entertainment","24","20.22.05","선우은숙|이영하|이혼|결혼|부부|재결합|아들|며느리|손주","342450","1180","106","116","https://i.ytimg.com/vi/PaEMmw5q4b8/default.jpg","False","False","[선공개]선우은숙, 이영하에 거침없는 스킨십?! ＂다시 합치나요??＂"
"sWMYr-XzwhY","미스터트롯 X 송해 2탄💖 '전국노래자랑 참가자'로 나온 #이찬원 #정동원 #김희재와 '초대가수'로 나온 #임영웅 #영탁 #장민호 함께보기✨ [대케가수]","2020-05-19T10:01:13Z","UCUnSdg6_nmdhh2fXjsNqTXg","KBS대전","10","20.22.05","대전|KBS|KBS대전|세종|충남|편성|프로그램|제작|kbs|대전시|대전광역시|충청남도|세종특별시|전국노래자랑|미스터트롯|트롯|영트롯|트로트|장민호|임영웅|이찬원|영탁|정동원|김희재|일소일소일노일로|네가왜거기서나와|미운사내|청춘고백|꿈속의사랑|짝사랑|송해|보릿고개|나그네설움|사랑해누나|돌리도|불후의명곡|미스트롯|색소폰|무대|레전드무대|공연모음|대케가수","340296","8525","344","698","https://i.ytimg.com/vi/sWMYr-XzwhY/default.jpg","False","False","미스터트롯 X 송해의 반응이 너~~~무 좋아서2탄을 준비했습니다!(와아아)😁😆😊이번에는 전국노래자랑 병아리🐤 시절에 나온#이찬원 #정동원 #김희재 무대모음과초대가수🎤로 초청되어 온#임영웅 #영탁 #장민호 무대모음을번갈아가며 시청해봐요!이번주 KBS2 '불후의 명곡' 송해가요제특집본방사수 전 #전국노래자랑 출연 영상 다시보기🎵 영탁 /누나가 딱이야/🎵 이찬원 /진또배기, 청춘고백, 정말진짜로, 너는내남자/🎵 임영웅 /계단말고 엘리베이터/🎵 김희재 /하니하니, 사랑아, 하이하이하이/🎵 장민호 /남자는 말합니다/🎵 정동원 /그물, 나그네 설움/ #대전 #세종 #충남 #KBSKBS 대전 http://daejeon.kbs.co.kr/KBS 대/세/남 뉴스 https://www.youtube.com/channel/UCGNz... 대케 KBS 대/세/남https://www.youtube.com/channel/UCUnS..."
